,amount,floor_number,rooms_number,size,month,year,Wartość inflacji,lat,lon,dist_center_km
0,418433.0,2,2,31.06,11,2025,2.5,52.2726453,21.08211781,6.742173054061615
1,912136.2,2,4,63.15,11,2025,2.5,52.2726453,21.08211781,6.742173054061615
2,780000.0,9,2,45.7,11,2025,2.5,52.28129222,20.98433899,6.042117781798745
3,700000.0,1,2,41.59,11,2025,2.5,52.27347063,20.9172278,8.092291089575152
4,818274.8,6,3,46.2,11,2025,2.5,52.1973465,20.95665635,5.221399042439346
5,678976.26,2,2,37.2,11,2025,2.5,52.18032417,21.00075764,5.545433905156585
6,669676.0,6,2,38.09,11,2025,2.5,52.25378235,21.06754276,4.622771545619434
7,655323.2,1,3,57.54,11,2025,2.5,52.20288687,20.88708567,9.030084372105158
8,1023018.25,4,2,51.55,11,2025,2.5,52.18028562,20.99957293,5.561595198213598
9,656420.5,3,2,37.85,11,2025,2.5,52.25378235,21.06754276,4.622771545619434
10,509095.52,1,2,37.34,11,2025,2.5,52.20288687,20.88708567,9.030084372105158
11,634921.0,1,2,35.18,11,2025,2.5,52.25378235,21.06754276,4.622771545619434
12,683410.0,2,1,37.55,11,2025,2.5,52.18032417,21.00075764,5.545433905156585
13,1214411.57,6,4,62.72,11,2025,2.5,52.18032417,21.00075764,5.545433905156585
14,516294.0,1,2,31.87,11,2025,2.5,52.1973465,20.95665635,5.221399042439346
15,802888.8,4,3,51.61,11,2025,2.5,52.1973465,20.95665635,5.221399042439346
16,908215.0,2,4,67.07,11,2025,2.5,52.2726453,21.08211781,6.742173054061615
17,1042699.0,5,2,51.8,11,2025,2.5,52.18028562,20.99957293,5.561595198213598
18,701470.21,6,3,56.48,11,2025,2.5,52.20288687,20.88708567,9.030084372105158
19,729033.0,3,4,63.25,11,2025,2.5,52.2726453,21.08211781,6.742173054061615
20,550000.0,4,2,39.69,11,2025,2.5,52.34299899,21.05110128,12.87315255634332
21,555000.0,2,3,40.59,11,2025,2.5,52.34327036,21.05307103,12.930824401157262
22,1162212.12,5,4,76.03,11,2025,2.5,52.15569078,21.08516864,9.615736159832563
23,620000.0,5,2,43.32,11,2025,2.5,52.28320308,20.95591171,7.0762016958519895
24,889342.0,2,4,78.38,11,2025,2.5,52.20288687,20.88708567,9.030084372105158
25,694842.42,6,2,41.41,11,2025,2.5,52.28244839,20.9166189,8.759466182096501
26,668946.5,5,2,37.92,11,2025,2.5,52.25378235,21.06754276,4.622771545619434
27,534000.0,6,2,43.93,11,2025,2.5,52.29101197,21.01696759,6.8252973866502735
28,872358.0,4,3,52.06,11,2025,2.5,52.25378235,21.06754276,4.622771545619434
29,899000.0,3,3,56.6,11,2025,2.5,52.20435542,20.95007255,5.0849008911370435
