,Rok,Miesiąc,Wartość,date
24,2025,1,4.900000000000006,2025-01-01
25,2025,2,4.900000000000006,2025-02-01
26,2025,3,4.900000000000006,2025-03-01
27,2025,4,4.299999999999997,2025-04-01
28,2025,5,4.0,2025-05-01
29,2025,6,4.099999999999994,2025-06-01
30,2025,7,3.0999999999999943,2025-07-01
31,2025,8,2.9000000000000057,2025-08-01
32,2025,9,2.9000000000000057,2025-09-01
33,2025,10,2.799999999999997,2025-10-01
34,2025,11,2.5,2025-11-01
35,2025,12,2.4000000000000057,2025-12-01
84,2024,1,3.700000000000003,2024-01-01
85,2024,2,2.799999999999997,2024-02-01
86,2024,3,2.0,2024-03-01
87,2024,4,2.4000000000000057,2024-04-01
88,2024,5,2.5,2024-05-01
89,2024,6,2.5999999999999943,2024-06-01
90,2024,7,4.200000000000003,2024-07-01
91,2024,8,4.299999999999997,2024-08-01
92,2024,9,4.900000000000006,2024-09-01
93,2024,10,5.0,2024-10-01
94,2024,11,4.700000000000003,2024-11-01
95,2024,12,4.700000000000003,2024-12-01
144,2023,1,16.599999999999994,2023-01-01
145,2023,2,18.400000000000006,2023-02-01
146,2023,3,16.099999999999994,2023-03-01
147,2023,4,14.700000000000003,2023-04-01
148,2023,5,13.0,2023-05-01
149,2023,6,11.5,2023-06-01
150,2023,7,10.799999999999997,2023-07-01
151,2023,8,10.099999999999994,2023-08-01
152,2023,9,8.200000000000003,2023-09-01
153,2023,10,6.599999999999994,2023-10-01
154,2023,11,6.599999999999994,2023-11-01
155,2023,12,6.200000000000003,2023-12-01
204,2022,1,9.400000000000006,2022-01-01
205,2022,2,8.5,2022-02-01
206,2022,3,11.0,2022-03-01
207,2022,4,12.400000000000006,2022-04-01
208,2022,5,13.900000000000006,2022-05-01
209,2022,6,15.5,2022-06-01
210,2022,7,15.599999999999994,2022-07-01
211,2022,8,16.099999999999994,2022-08-01
212,2022,9,17.200000000000003,2022-09-01
213,2022,10,17.900000000000006,2022-10-01
214,2022,11,17.5,2022-11-01
215,2022,12,16.599999999999994,2022-12-01
264,2021,1,2.5999999999999943,2021-01-01
265,2021,2,2.4000000000000057,2021-02-01
266,2021,3,3.200000000000003,2021-03-01
267,2021,4,4.299999999999997,2021-04-01
268,2021,5,4.700000000000003,2021-05-01
269,2021,6,4.400000000000006,2021-06-01
270,2021,7,5.0,2021-07-01
271,2021,8,5.5,2021-08-01
272,2021,9,5.900000000000006,2021-09-01
273,2021,10,6.799999999999997,2021-10-01
274,2021,11,7.799999999999997,2021-11-01
275,2021,12,8.599999999999994,2021-12-01
324,2020,1,4.299999999999997,2020-01-01
325,2020,2,4.700000000000003,2020-02-01
326,2020,3,4.599999999999994,2020-03-01
327,2020,4,3.4000000000000057,2020-04-01
328,2020,5,2.9000000000000057,2020-05-01
329,2020,6,3.299999999999997,2020-06-01
330,2020,7,3.0,2020-07-01
331,2020,8,2.9000000000000057,2020-08-01
332,2020,9,3.200000000000003,2020-09-01
333,2020,10,3.0999999999999943,2020-10-01
334,2020,11,3.0,2020-11-01
335,2020,12,2.4000000000000057,2020-12-01
384,2019,1,0.7000000000000028,2019-01-01
385,2019,2,1.2000000000000028,2019-02-01
386,2019,3,1.7000000000000028,2019-03-01
387,2019,4,2.200000000000003,2019-04-01
388,2019,5,2.4000000000000057,2019-05-01
389,2019,6,2.5999999999999943,2019-06-01
390,2019,7,2.9000000000000057,2019-07-01
391,2019,8,2.9000000000000057,2019-08-01
392,2019,9,2.5999999999999943,2019-09-01
393,2019,10,2.5,2019-10-01
394,2019,11,2.5999999999999943,2019-11-01
395,2019,12,3.4000000000000057,2019-12-01
444,2018,1,1.9000000000000057,2018-01-01
445,2018,2,1.4000000000000057,2018-02-01
446,2018,3,1.2999999999999972,2018-03-01
447,2018,4,1.5999999999999943,2018-04-01
448,2018,5,1.7000000000000028,2018-05-01
449,2018,6,2.0,2018-06-01
450,2018,7,2.0,2018-07-01
451,2018,8,2.0,2018-08-01
452,2018,9,1.9000000000000057,2018-09-01
453,2018,10,1.7999999999999972,2018-10-01
454,2018,11,1.2999999999999972,2018-11-01
455,2018,12,1.0999999999999943,2018-12-01
504,2017,1,1.7000000000000028,2017-01-01
505,2017,2,2.200000000000003,2017-02-01
506,2017,3,2.0,2017-03-01
507,2017,4,2.0,2017-04-01
508,2017,5,1.9000000000000057,2017-05-01
509,2017,6,1.5,2017-06-01
510,2017,7,1.7000000000000028,2017-07-01
511,2017,8,1.7999999999999972,2017-08-01
512,2017,9,2.200000000000003,2017-09-01
513,2017,10,2.0999999999999943,2017-10-01
514,2017,11,2.5,2017-11-01
515,2017,12,2.0999999999999943,2017-12-01
564,2016,1,-0.9000000000000057,2016-01-01
565,2016,2,-0.7999999999999972,2016-02-01
566,2016,3,-0.9000000000000057,2016-03-01
567,2016,4,-1.0999999999999943,2016-04-01
568,2016,5,-0.9000000000000057,2016-05-01
569,2016,6,-0.7999999999999972,2016-06-01
570,2016,7,-0.9000000000000057,2016-07-01
571,2016,8,-0.7999999999999972,2016-08-01
572,2016,9,-0.5,2016-09-01
573,2016,10,-0.20000000000000284,2016-10-01
574,2016,11,0.0,2016-11-01
575,2016,12,0.7999999999999972,2016-12-01
