sale_rcn_id,name,amount,amount_sqm,floor_number,rooms_number,type,currency,size,creation_date,invest_name,invest_city
247604,146511_8.1105.104_BUD.66_LOK,418433.0,13471.76,2,2,mieszkalna,PLN,31.06,2025-11-19,Ulica Krzewna 9,Warszawa
247605,146511_8.1105.104_BUD.30_LOK,912136.2,14443.96,2,4,mieszkalna,PLN,63.15,2025-11-19,Ulica Krzewna 9,Warszawa
246652,146519_8.0104.63_BUD.220_LOK,780000.0,17067.83,9,2,mieszkalna,PLN,45.7,2025-11-19,Ulica Gwiaździsta 15A,Warszawa
2274823,146505_8.0809.1023_BUD.318_LOK,950000.0,25503.36,8,2,mieszkalna,PLN,37.25,2025-11-19,Ulica Wołoska 3,Warszawa
2274808,146505_8.0809.1022_BUD.176_LOK,926994.56,22283.52,5,2,mieszkalna,PLN,41.6,2025-11-19,Ulica Fabryki „tewa” 5,Warszawa
242202,146504_8.0814.137_BUD.6_LOK,700000.0,16830.97,1,2,mieszkalna,PLN,41.59,2025-11-19,Ulica Bartosza Głowackiego 14,Warszawa
258099,146517_8.0502.249_BUD.106_LOK,818274.8,17711.58,6,3,mieszkalna,PLN,46.2,2025-11-19,Ulica Instalatorów 9A,Warszawa
2274829,146505_8.0809.1023_BUD.261_LOK,678976.26,18252.05,2,2,mieszkalna,PLN,37.2,2025-11-19,Ulica Wołoska 3,Warszawa
252728,146507_8.0203.152_BUD.93_LOK,669676.0,17581.41,6,2,mieszkalna,PLN,38.09,2025-11-19,Ulica Żupnicza 19A,Warszawa
249785,146512_8.0909.371_BUD.4_LOK,655323.2,11389.0,1,3,mieszkalna,PLN,57.54,2025-11-19,Ulica Giserska 9,Warszawa
237047,146518_8.0104.194_BUD.92_LOK,1170635.19,27447.48,3,1,mieszkalna,PLN,42.65,2025-11-19,Ulica Krochmalna 61,Warszawa
2274825,146505_8.0809.1022_BUD.49_LOK,1023018.25,19845.16,4,2,mieszkalna,PLN,51.55,2025-11-19,Ulica Fabryki „tewa” 5,Warszawa
252739,146507_8.0203.152_BUD.104_LOK,656420.5,17342.68,3,2,mieszkalna,PLN,37.85,2025-11-19,Ulica Żupnicza 19A,Warszawa
237574,146516_8.0639.26_BUD.1_LOK,6200000.0,26304.62,1,6,mieszkalna,PLN,235.7,2025-11-19,Ulica Wiedeńska 91D,Warszawa
249783,146512_8.0909.371_BUD.3_LOK,509095.52,13634.05,1,2,mieszkalna,PLN,37.34,2025-11-19,Ulica Giserska 9,Warszawa
252731,146507_8.0203.152_BUD.25_LOK,634921.0,18047.78,1,2,mieszkalna,PLN,35.18,2025-11-19,Ulica Żupnicza 19A,Warszawa
2274827,146505_8.0809.1023_BUD.211_LOK,584152.33,23366.09,5,1,mieszkalna,PLN,25.0,2025-11-19,Ulica Wołoska 3,Warszawa
2274828,146505_8.0809.1023_BUD.25_LOK,683410.0,18200.0,2,1,mieszkalna,PLN,37.55,2025-11-19,Ulica Wołoska 3,Warszawa
2274809,146505_8.0809.1023_BUD.356_LOK,1214411.57,19362.43,6,4,mieszkalna,PLN,62.72,2025-11-19,Ulica Wołoska 3,Warszawa
258097,146517_8.0502.249_BUD.80_LOK,516294.0,16200.0,1,2,mieszkalna,PLN,31.87,2025-11-19,Ulica Instalatorów 9A,Warszawa
258098,146517_8.0502.249_BUD.127_LOK,802888.8,15556.85,4,3,mieszkalna,PLN,51.61,2025-11-19,Ulica Instalatorów 9A,Warszawa
237046,146518_8.0104.194_BUD.333_LOK,847752.23,29395.01,7,1,mieszkalna,PLN,28.84,2025-11-19,Ulica Krochmalna 61,Warszawa
247601,146511_8.1105.104_BUD.40_LOK,908215.0,13541.3,2,4,mieszkalna,PLN,67.07,2025-11-19,Ulica Krzewna 9,Warszawa
255240,146506_8.0320.58_BUD.212_LOK,2250000.0,19478.83,1,6,mieszkalna,PLN,115.51,2025-11-19,Ulica Mołdawska 7A,Warszawa
2274826,146505_8.0809.1022_BUD.53_LOK,1042699.0,20129.32,5,2,mieszkalna,PLN,51.8,2025-11-19,Ulica Fabryki „tewa” 5,Warszawa
249786,146512_8.0909.371_BUD.143_LOK,701470.21,12419.8,6,3,mieszkalna,PLN,56.48,2025-11-19,Ulica Giserska 9,Warszawa
