sale_rcn_id,name,amount,amount_sqm,floor_number,rooms_number,type,currency,size,creation_date,invest_name,invest_city
245750,146517_8.0502.245_BUD.127_LOK,752024,15788.87,6,2,mieszkalna,PLN,47.63,2025-04-16,Ulica Instalatorów 7A,Warszawa
245746,146517_8.0502.245_BUD.68_LOK,545000,14379.95,2,2,mieszkalna,PLN,37.9,2025-04-16,Ulica Instalatorów 7A,Warszawa
245751,146517_8.0502.245_BUD.94_LOK,657359.5,17163.43,7,2,mieszkalna,PLN,38.3,2025-04-16,Ulica Instalatorów 7A,Warszawa
242913,146517_8.0826.117_BUD.58_LOK,855942.85,14306.25,3,3,mieszkalna,PLN,59.83,2025-04-16,Aleje Jerozolimskie 190,Warszawa
241286,146514_8.1145.111_BUD.82_LOK,598424.89,11521.46,3,3,mieszkalna,PLN,51.94,2025-04-16,Ulica Mieczysława Pożaryskiego 35A,Warszawa
256808,146514_8.0720.164_BUD.3_LOK,720000,16449.62,3,2,mieszkalna,PLN,43.77,2025-04-16,Ulica Korkowa 45,Warszawa
256473,146509_8.0802.65_BUD.88_LOK,780000,14138.12,2,3,mieszkalna,PLN,55.17,2025-04-16,Ulica Chełmżyńska 198D,Warszawa
254129,146504_8.0513.165_BUD.30_LOK,960000,19512.2,4,2,mieszkalna,PLN,49.2,2025-04-16,Ulica Stefana Żeromskiego 9,Warszawa
241809,146513_8.1106.4_BUD.46_LOK,690000,15470.85,10,3,mieszkalna,PLN,44.6,2025-04-16,Ulica Belgradzka 8,Warszawa
241808,146513_8.1106.4_BUD.47_LOK,750000,15495.87,10,3,mieszkalna,PLN,48.4,2025-04-16,Ulica Belgradzka 8,Warszawa
241810,146513_8.1106.4_BUD.48_LOK,680000,15596.33,10,3,mieszkalna,PLN,43.6,2025-04-16,Ulica Belgradzka 8,Warszawa
241807,146513_8.1106.4_BUD.49_LOK,750000,15495.87,10,3,mieszkalna,PLN,48.4,2025-04-16,Ulica Belgradzka 8,Warszawa
241811,146513_8.1106.4_BUD.50_LOK,680000,15632.18,10,2,mieszkalna,PLN,43.5,2025-04-16,Ulica Belgradzka 8,Warszawa
249836,146506_8.0206.78_BUD.33_LOK,965000,16736.04,3,3,mieszkalna,PLN,57.66,2025-04-16,Ulica Białobrzeska 29,Warszawa
239555,146512_8.1108.6_BUD.7_LOK,1120000,15279.67,4,4,mieszkalna,PLN,73.3,2025-04-16,Ulica Apartamentowa 7,Warszawa
250415,146518_8.0108.13_BUD.16_LOK,699000,15262.01,3,4,mieszkalna,PLN,45.8,2025-04-16,Ulica Pańska 57,Warszawa
254020,146504_8.0514.67_BUD.49_LOK,489000,18628.57,4,2,mieszkalna,PLN,26.25,2025-04-16,Ulica Leopolda Staffa 11,Warszawa
245621,146512_8.0909.369_BUD.170_LOK,532000,11150.7,7,2,mieszkalna,PLN,47.71,2025-04-16,Ulica Herbu Oksza 14,Warszawa
231742,146505_8.0420.1043_BUD.38_LOK,2300000,26552.76,3,4,mieszkalna,PLN,86.62,2024-10-17,Ulica Bartłomieja 2,Warszawa
240042,146503_8.1627.105_BUD.217_LOK,1000000,13192.61,3,3,mieszkalna,PLN,75.8,2025-04-16,Ulica Leona Berensona 55,Warszawa
92324,146505_8.0108.64_BUD.22_LOK,2310000,23750.77,5,4,mieszkalna,PLN,97.26,2019-04-12,Ulica Asfaltowa 14,Warszawa
250102,146508_8.1405.199_BUD.5_LOK,1450000,23577.24,3,3,mieszkalna,PLN,61.5,2025-04-16,Ulica Nieporęcka 2,Warszawa
237166,146503_8.0706.259_BUD.2_LOK,1139000,11749.54,1,3,mieszkalna,PLN,96.94,2025-04-16,Ulica Wielkiego Dębu 23C,Warszawa
250153,146507_8.0604.9_BUD.6_LOK,468000,7918.78,2,4,mieszkalna,PLN,59.1,2025-04-16,Ulica Stanisława Rogalskiego 2,Warszawa
249837,146508_8.1405.1_BUD.8_LOK,2299000,19343.71,4,4,mieszkalna,PLN,118.85,2025-04-16,Ulica Markowska 18A,Warszawa
148390,146510_8.0506.72.1_BUD.105_LOK,741000,14702.38,7,3,mieszkalna,PLN,50.4,2021-03-01,Ulica Nowowiejska 5,Warszawa
158714,146514_8.1299.67.2_BUD.35_LOK,502010.92,7979.83,5,3,mieszkalna,PLN,62.91,2021-03-01,Ulica Poematu 6,Warszawa
151071,146510_8.0407.25/2.1_BUD.12_LOK,536000,11074.38,2,3,mieszkalna,PLN,48.4,2021-03-01,Ulica Konstantego Ildefonsa Gałczyńskiego 5,Warszawa
157610,146506_8.0313.17.1_BUD.11_LOK,445000,12437.12,2,3,mieszkalna,PLN,35.78,2021-03-01,Ulica Karola Dickensa 15,Warszawa
181098,146505_8.0117.92_BUD.16_LOK,1400000,17670.07,4,3,mieszkalna,PLN,79.23,2021-03-01,Ulica Łowicka 23,Warszawa
147792,146503_8.0608.78/1.2_BUD.66_LOK,434358.06,7372,1,3,mieszkalna,PLN,58.92,2021-03-01,Ulica Krzyżówki 11B,Warszawa
180122,146505_8.0810.1123_BUD.51_LOK,482336.47,11580.71,7,2,mieszkalna,PLN,41.65,2021-03-01,Ulica Taśmowa 4A,Warszawa
146991,146516_8.1014.79/40.2_BUD.7_LOK,1000000,10033.11,1,4,mieszkalna,PLN,99.67,2021-03-01,Ulica Zdrowa 8,Warszawa
158701,146517_8.0501.272.1_BUD.13_LOK,321903,7008.56,3,3,mieszkalna,PLN,45.93,2021-03-01,Ulica Rakowska 5,Warszawa
151342,146504_8.0807.59.3_BUD.11_LOK,347643,8543.7,2,2,mieszkalna,PLN,40.69,2021-03-01,Ulica Wólczyńska 69A,Warszawa
151343,146504_8.0807.59.3_BUD.132_LOK,706626,9340.73,14,4,mieszkalna,PLN,75.65,2021-03-01,Ulica Wólczyńska 69A,Warszawa
